Status,CameraX,MotorY,CameraY,MatchLevel,MotorX,
1.0,292.1171875,550.039916992,270.26953125,88.76171875,109.999969482,
1.0,276.16796875,559.037536621,268.875,93.39453125,110.0,
1.0,258.4140625,565.044189453,267.01171875,93.36328125,110.000030518,
1.0,296.23828125,574.042541504,269.1015625,83.9453125,110.000030518,
1.0,274.43359375,583.050048828,262.6953125,83.515625,110.000038147,
1.0,256.5,589.046447754,261.34375,83.8671875,109.999931335,
1.0,294.23828125,598.054992676,261.703125,86.47265625,110.000068665,
0.0,0.0,607.055908203,0.0,0.0,110.000068665,
0.0,0.0,613.055358887,0.0,0.0,110.000030518,
0.0,0.0,622.054992676,0.0,0.0,110.000030518,


Status,CameraX,MotorY,CameraY,MatchLevel,MotorX,0.0,0.0,300.00012207,0.0,0.0,110.0,
1.0,308.5,318.750976562,350.5,82.72265625,110.000030518,
1.0,253.98828125,327.750671387,345.5,83.65234375,109.999931335,
1.0,234.66796875,333.752380371,343.6875,86.32421875,109.999969482,
1.0,272.5,342.753509521,335.78515625,91.76953125,110.000030518,
1.0,253.953125,351.757202148,333.44140625,89.671875,110.000030518,
1.0,233.38671875,357.750579834,331.0,89.79296875,110.000068665,
1.0,273.796875,366.755004883,329.7265625,90.51953125,109.999969482,
1.0,253.74609375,375.764007568,325.5,90.171875,110.000030518,
1.0,232.5,381.754272461,321.6875,90.03515625,110.0,
1.0,273.1796875,390.764465332,319.92578125,89.4375,110.000068665,
1.0,254.5703125,399.749755859,321.23828125,82.83203125,109.999969482,
1.0,234.5,405.763977051,315.19921875,86.4609375,110.000030518,
1.0,274.5,414.752075195,311.609375,90.421875,110.000030518,
1.0,257.5,423.753509521,313.1875,82.640625,109.999969482,
1.0,239.2734375,429.750488281,308.73828125,90.0390625,110.000068665,
1.0,279.5,438.751403809,306.91015625,90.41796875,110.0,
1.0,262.546875,447.758453369,300.73046875,80.82421875,110.000068665,
1.0,241.43359375,453.755004883,300.66015625,85.578125,110.000099182,
1.0,283.29296875,462.759490967,301.83203125,83.94140625,110.000038147,
1.0,263.8515625,471.762023926,295.0703125,89.87890625,109.999969482,
1.0,243.5546875,477.759521484,292.8046875,89.31640625,110.000030518,
1.0,282.95703125,486.769073486,291.5,92.296875,110.0,
1.0,264.53125,501.762359619,289.32421875,92.30859375,110.000030518,
1.0,281.1953125,510.752960205,284.79296875,92.37890625,110.0,
1.0,262.125,519.754943848,283.015625,91.671875,110.000099182,
1.0,240.5,525.760681152,278.81640625,95.07421875,110.000099182,
1.0,278.5,534.760131836,276.81640625,97.875,110.000068665,
1.0,260.5,543.762268066,273.6875,92.06640625,110.000038147,
1.0,240.5,549.756164551,271.0625,88.078125,110.000038147,
1.0,281.99609375,558.759338379,270.17578125,91.53515625,110.000068665,
1.0,263.953125,558.759338379,268.02734375,93.1640625,110.000099182,
1.0,245.4453125,573.766418457,269.31640625,84.578125,110.000068665,
1.0,280.14453125,582.773864746,262.1328125,83.99609375,110.0,
1.0,261.50390625,591.758605957,262.21484375,84.18359375,110.000030518,
1.0,243.61328125,597.770690918,262.13671875,86.75,110.000068665,
0.0,0.0,606.759765625,0.0,0.0,109.999969482,
0.0,0.0,615.373352051,0.0,0.0,109.999961853,


Status,CameraX,MotorY,CameraY,MatchLevel,MotorX,0.0,0.0,310.671844482,0.0,0.0,110.000099182,
1.0,254.5,319.670562744,344.203125,89.33984375,110.000099182,
1.0,235.609375,325.672851562,344.9296875,84.1640625,110.000038147,
1.0,273.7265625,334.671630859,342.08203125,88.640625,110.0,
1.0,254.96875,343.672576904,336.91796875,91.7578125,110.000099182,
1.0,236.72265625,349.670318604,337.42578125,82.74609375,110.000099182,
1.0,273.46484375,358.674285889,329.875,89.89453125,110.0001297,
1.0,256.234375,367.683776855,329.96875,90.95703125,110.0,
1.0,236.2421875,373.674804688,325.6328125,90.171875,110.000099182,
1.0,272.90234375,382.688903809,321.56640625,89.48828125,110.000099182,
1.0,255.75,391.673522949,319.953125,90.03515625,109.999969482,
1.0,237.03125,397.683349609,316.96484375,88.76171875,110.000099182,
1.0,273.5,397.683349609,315.29296875,86.5390625,110.000099182,
1.0,257.55078125,415.670349121,312.51171875,91.078125,110.000068665,
1.0,239.98828125,421.67199707,313.37890625,83.19140625,110.000099182,
1.0,278.27734375,430.671356201,308.1953125,89.078125,110.000068665,
1.0,263.5,439.67980957,309.43359375,84.31640625,110.000099182,
1.0,241.5,445.676208496,300.09375,83.578125,110.000068665,
1.0,280.90234375,454.681060791,299.86328125,86.87890625,110.000030518,
1.0,264.5,463.68460083,298.3671875,92.09765625,110.0001297,
1.0,243.5,469.680358887,292.98046875,87.9140625,110.000038147,
